id,sku,title,description,category,price,tags
550e8400-e29b-41d4-a716-446655440000,ELE001,"Wireless Bluetooth Headphones","Premium over-ear headphones with noise cancellation",electronics,199.99,"wireless,bluetooth,headphones,noise-cancelling"
550e8400-e29b-41d4-a716-446655440001,ELE002,"4K Smart TV 55 Inch","Ultra HD Smart TV with streaming apps built-in",electronics,699.99,"tv,smart,4k,streaming,entertainment"
550e8400-e29b-41d4-a716-446655440002,ELE003,"Gaming Mechanical Keyboard","RGB backlit mechanical keyboard for gaming",electronics,129.99,"gaming,keyboard,mechanical,rgb,backlit"
550e8400-e29b-41d4-a716-446655440003,ELE004,"Wireless Mouse","Ergonomic wireless mouse with precision tracking",electronics,49.99,"mouse,wireless,ergonomic,precision"
550e8400-e29b-41d4-a716-446655440004,ELE005,"Smartphone 128GB","Latest flagship smartphone with advanced camera",electronics,899.99,"smartphone,camera,flagship,mobile,android"
550e8400-e29b-41d4-a716-446655440005,ELE006,"Tablet 10 Inch","Lightweight tablet perfect for work and entertainment",electronics,299.99,"tablet,portable,work,entertainment,touchscreen"
550e8400-e29b-41d4-a716-446655440006,ELE007,"Laptop Stand","Adjustable aluminum laptop stand for ergonomic work",electronics,39.99,"laptop,stand,ergonomic,aluminum,adjustable"
550e8400-e29b-41d4-a716-446655440007,ELE008,"USB-C Hub","Multi-port USB-C hub with HDMI and card readers",electronics,69.99,"usb-c,hub,hdmi,connectivity,ports"
550e8400-e29b-41d4-a716-446655440008,ELE009,"Power Bank 20000mAh","High capacity portable power bank with fast charging",electronics,59.99,"power-bank,portable,fast-charging,battery"
550e8400-e29b-41d4-a716-446655440009,ELE010,"Action Camera","4K action camera with waterproof case",electronics,179.99,"camera,action,4k,waterproof,sports"
550e8400-e29b-41d4-a716-446655440010,APP001,"Cotton T-Shirt","Premium 100% cotton t-shirt in various colors",apparel,24.99,"t-shirt,cotton,casual,comfortable,basic"
550e8400-e29b-41d4-a716-446655440011,APP002,"Denim Jeans","Classic fit denim jeans with stretch fabric",apparel,79.99,"jeans,denim,classic,stretch,pants"
550e8400-e29b-41d4-a716-446655440012,APP003,"Winter Jacket","Insulated winter jacket with hood",apparel,149.99,"jacket,winter,insulated,hood,outerwear"
550e8400-e29b-41d4-a716-446655440013,APP004,"Running Shoes","Lightweight running shoes with cushioned sole",apparel,119.99,"shoes,running,lightweight,cushioned,athletic"
550e8400-e29b-41d4-a716-446655440014,APP005,"Business Suit","Professional two-piece business suit",apparel,299.99,"suit,business,professional,formal,two-piece"
550e8400-e29b-41d4-a716-446655440015,APP006,"Casual Dress","Elegant casual dress for everyday wear",apparel,89.99,"dress,casual,elegant,everyday,women"
550e8400-e29b-41d4-a716-446655440016,APP007,"Baseball Cap","Adjustable baseball cap with embroidered logo",apparel,19.99,"cap,baseball,adjustable,embroidered,hat"
550e8400-e29b-41d4-a716-446655440017,APP008,"Leather Belt","Genuine leather belt with metal buckle",apparel,49.99,"belt,leather,genuine,metal,buckle"
550e8400-e29b-41d4-a716-446655440018,APP009,"Wool Sweater","Soft wool sweater perfect for cold weather",apparel,89.99,"sweater,wool,soft,cold-weather,warm"
550e8400-e29b-41d4-a716-446655440019,APP010,"Athletic Shorts","Moisture-wicking athletic shorts for workouts",apparel,34.99,"shorts,athletic,moisture-wicking,workout,sports"
550e8400-e29b-41d4-a716-446655440020,HOM001,"Coffee Maker","Programmable drip coffee maker with thermal carafe",home,89.99,"coffee,maker,programmable,thermal,kitchen"
550e8400-e29b-41d4-a716-446655440021,HOM002,"Air Purifier","HEPA air purifier for clean indoor air",home,159.99,"air-purifier,hepa,clean,indoor,health"
550e8400-e29b-41d4-a716-446655440022,HOM003,"Vacuum Cleaner","Cordless stick vacuum with multiple attachments",home,199.99,"vacuum,cordless,stick,attachments,cleaning"
550e8400-e29b-41d4-a716-446655440023,HOM004,"Kitchen Knife Set","Professional 8-piece kitchen knife set with block",home,129.99,"knives,kitchen,professional,set,cooking"
